iter	Passed	Remaining
409	5291	123773
410	5308	123863
411	5324	123899
412	5340	123963
413	5357	124041
414	5369	124008
415	5384	124042
416	5398	124054
417	5419	124229
418	5464	124952
419	5478	124964
420	5491	124953
421	5503	124910
422	5516	124900
423	5532	124960
424	5558	125232
425	5585	125521
426	5600	125553
427	5626	125825
428	5643	125907
429	5660	125976
430	5683	126185
431	5706	126385
432	5728	126558
433	5759	126952
434	5780	127095
435	5798	127202
436	5816	127273
437	5831	127317
438	5844	127298
439	5857	127257
440	5870	127241
441	5881	127190
442	5893	127147
443	5906	127118
444	5917	127064
445	5934	127124
446	5947	127111
447	5975	127396
448	6017	127995
449	6062	128661
450	6090	128945
451	6108	129038
452	6127	129131
453	6149	129291
454	6163	129306
455	6182	129406
456	6198	129438
457	6223	129652
458	6249	129911
459	6303	130720
460	6324	130863
461	6350	131112
462	6383	131486
463	6403	131593
464	6433	131930
465	6451	131994
466	6475	132191
467	6493	132250
468	6527	132649
469	6542	132658
470	6563	132796
471	6584	132917
472	6610	133146
473	6631	133275
474	6648	133314
475	6662	133313
476	6676	133282
477	6687	133221
478	6700	133188
479	6712	133134
480	6724	133083
481	6736	133027
482	6748	132974
483	6761	132929
484	6772	132862
485	6784	132805
486	6796	132764
487	6808	132709
488	6820	132651
489	6831	132592
490	6843	132525
491	6854	132468
492	6868	132456
493	6880	132394
494	6891	132328
495	6903	132274
496	6914	132215
497	6926	132156
498	6937	132085
499	6948	132029
500	6960	131975
501	6972	131926
502	6983	131862
503	6995	131804
504	7007	131754
505	7018	131690
506	7034	131718
507	7045	131654
508	7056	131578
509	7068	131535
510	7080	131477
511	7091	131415
512	7103	131365
513	7115	131312
514	7126	131253
515	7138	131200
516	7153	131209
517	7215	132082
518	7228	132054
519	7241	132016
520	7252	131949
521	7263	131889
522	7274	131824
523	7286	131765
524	7298	131712
525	7309	131647
526	7320	131592
527	7332	131540
528	7343	131479
529	7354	131416
530	7366	131361
531	7377	131303
532	7389	131250
533	7401	131210
534	7413	131159
535	7425	131102
536	7436	131044
537	7451	131052
538	7466	131052
539	7480	131041
540	7493	131023
541	7511	131078
542	7525	131065
543	7540	131066
544	7561	131186
545	7578	131221
546	7601	131365
547	7628	131573
548	7642	131567
549	7657	131565
550	7673	131592
551	7685	131552
552	7697	131489
553	7709	131444
554	7725	131466
555	7742	131505
556	7758	131527
557	7781	131665
558	7797	131691
559	7811	131671
560	7830	131754
561	7845	131755
562	7875	132010
563	7891	132035
564	7907	132049
565	7920	132025
566	7936	132033
567	7950	132017
568	7967	132051
569	7981	132047
570	7997	132068
571	8014	132097
572	8029	132103
573	8045	132119
574	8063	132166
575	8080	132207
576	8095	132200
577	8109	132187
578	8126	132224
579	8145	132290
580	8165	132377
581	8180	132382
582	8196	132399
583	8217	132491
584	8233	132503
585	8248	132512
586	8264	132523
587	8280	132539
588	8305	132703
589	8326	132798
590	8344	132842
591	8361	132886
592	8379	132925
593	8398	132994
594	8418	133075
595	8487	133923
596	8565	134911
597	8585	134991
598	8607	135090
599	8621	135076
600	8633	135017
601	8644	134947
602	8657	134910
603	8670	134873
604	8683	134840
605	8696	134802
606	8709	134769
607	8727	134809
608	8744	134838
609	8778	135134
610	8807	135335
611	8841	135621
612	8859	135671
613	8874	135664
614	8889	135651
615	8910	135738
616	8930	135803
617	8954	135942
618	8980	136103
619	9009	136303
620	9028	136359
621	9046	136397
622	9062	136399
623	9088	136567
624	9102	136540
625	9119	136552
626	9131	136511
627	9146	136499
628	9160	136480
629	9175	136471
630	9194	136522
631	9216	136616
632	9237	136687
633	9252	136687
634	9267	136680
635	9281	136656
636	9299	136687
637	9319	136754
638	9349	136969
639	9360	136895
640	9386	137054
641	9404	137081
642	9420	137085
643	9436	137098
644	9454	137125
645	9482	137299
646	9501	137357
647	9521	137415
648	9537	137422
649	9553	137429
650	9569	137432
651	9585	137429
652	9598	137394
653	9614	137392
654	9627	137361
655	9641	137325
656	9656	137319
657	9669	137281
658	9685	137282
659	9698	137243
660	9710	137191
661	9725	137186
662	9740	137170
663	9755	137160
664	9768	137121
665	9782	137101
666	9793	137039
667	9805	136982
668	9817	136932
669	9829	136882
670	9841	136825
671	9853	136779
672	9868	136762
673	9879	136707
674	9891	136649
675	9902	136589
676	9916	136556
677	9928	136512
678	9940	136457
679	9951	136397
680	9963	136337
681	9975	136289
682	9985	136220
683	9997	136167
